time_sec,x,y,z,w
1744093537.3451512,1.4042319696259737,-0.5399633277144554,0.007834966026804899,"[-6.23504122475378e-06, 0.003305151267162262, 0.00621814968866452, 0.9999752049679407]"
1744093537.4292543,1.404233191001448,-0.5399633364420448,0.00781619195731155,"[-5.060517021423289e-06, 0.0033041510425084923, 0.006218553560419779, 0.9999752057685708]"
1744093537.5270042,1.4042344559303843,-0.5399633455045674,0.007827654171071109,"[-3.8551338460355634e-06, 0.0033073294899621467, 0.0062189559288839185, 0.9999751927642693]"
1744093537.6254563,1.4042356835438674,-0.5399633549038367,0.0078413146006989,"[-2.654127723923049e-06, 0.0033092225000387254, 0.0062193598587263026, 0.9999751839932574]"
1744093537.720003,1.4042368694960665,-0.5399633672621702,0.007844797631145284,"[-1.2962960377047508e-06, 0.003308927835040084, 0.006219765419446414, 0.9999751824485592]"
1744093537.7993395,1.404238038860678,-0.5399633442159423,0.007840025107349588,"[-1.7091392055582657e-06, 0.0033069798911662747, 0.0062201682528986, 0.9999751863861343]"
1744093537.8836212,1.4042391879970955,-0.5399632515420056,0.007822797996418423,"[-5.591604779577539e-06, 0.0033030708422940305, 0.006220562640309677, 0.9999751968384931]"
1744093537.9496415,1.404240432058853,-0.5399631925224365,0.007818318838169093,"[-7.792629110637331e-06, 0.0033040662846129444, 0.006220955316705496, 0.9999751910923638]"
1744093538.0314355,1.4042416792725396,-0.5399631321905868,0.007826594319056367,"[-1.0051294490820317e-05, 0.003306636105827675, 0.006221347301323155, 0.9999751801391831]"
1744093538.0955555,1.4042429123902687,-0.5399630951516767,0.00783667273247588,"[-1.1162516965737604e-05, 0.003308446973579701, 0.00622174157493291, 0.9999751716846755]"
1744093538.1868346,1.404244139714993,-0.5399630710461489,0.007845007610264913,"[-1.161933585841943e-05, 0.00331030912075566, 0.00622213777516351, 0.9999751630515745]"
1744093538.2895665,1.40424533183142,-0.5399630581117474,0.007839827677862034,"[-1.1508188328595329e-05, 0.0033100047745594596, 0.006222536896495971, 0.9999751615767893]"
1744093538.379066,1.4042465502897683,-0.5399630547388671,0.007818424941159583,"[-1.0922702159117252e-05, 0.003308997032865333, 0.006222937801117007, 0.9999751624237747]"
1744093538.467322,1.4042477234734942,-0.5399630376042865,0.00781701089594366,"[-1.1052356628688073e-05, 0.0033067675865026203, 0.006223337987243357, 0.999975167306804]"
1744093538.5574906,1.4042488684825027,-0.5399630270970578,0.00781736272972539,"[-1.0851493697998964e-05, 0.0033033293047801883, 0.006223738416650085, 0.9999751761808242]"
1744093538.6541593,1.4042500800076816,-0.5399630391610771,0.007832168561387685,"[-9.521446489171852e-06, 0.003304296612095679, 0.0062241392326850015, 0.9999751705037748]"
1744093538.746507,1.4042512943709888,-0.5399630784144273,0.007843199543209393,"[-6.830550368845281e-06, 0.003305576066292871, 0.006224544309536998, 0.9999751637757571]"
1744093538.8274703,1.4042525082437298,-0.5399630522443005,0.007842799806075667,"[-7.392810297825619e-06, 0.0033061363645198578, 0.006224944772688213, 0.9999751594266044]"
1744093538.9022076,1.4042537105259913,-0.539963007489406,0.0078420259900012,"[-8.878650763965871e-06, 0.0033060307860867146, 0.006225342325230698, 0.9999751572886924]"
1744093538.9848948,1.4042549240903655,-0.5399629134809905,0.00784292048854729,"[-1.2820986889220827e-05, 0.0033065193081010607, 0.006225732807857801, 0.9999751531996646]"
1744093539.0783663,1.4042561266976412,-0.5399628597915129,0.007840720203596746,"[-1.4747230443880403e-05, 0.0033068069692048377, 0.00622612569358346, 0.9999751497757509]"
1744093539.1699517,1.4042573555500308,-0.5399628233649635,0.00781850552221847,"[-1.5804322401457727e-05, 0.003306333085765993, 0.006226520353715327, 0.9999751488692278]"
1744093539.2434003,1.4042586465122706,-0.5399627999058865,0.007823399313529633,"[-1.6213016890260348e-05, 0.003310205392279547, 0.006226914747263554, 0.9999751335958957]"
1744093539.3495696,1.4042599114165544,-0.5399627839358233,0.007838547982869266,"[-1.6268174470441987e-05, 0.0033139401883672728, 0.006227311259696719, 0.9999751187555865]"
1744093539.4497623,1.4042611015743591,-0.5399628343558813,0.007841361482409551,"[-1.3001694142255768e-05, 0.0033140262076381535, 0.006227717096066343, 0.9999751159909043]"
1744093539.540086,1.4042622798005644,-0.5399628952174501,0.007822261157748832,"[-9.217943560149052e-06, 0.0033113763325043474, 0.006228127204760614, 0.9999751222572169]"
1744093539.6393096,1.4042634233201954,-0.5399629310875836,0.007819389900472802,"[-6.710320535241288e-06, 0.0033075806592582574, 0.006228536317494618, 0.9999751322910464]"
1744093539.7472112,1.404264587834957,-0.5399629440594866,0.007818216284031683,"[-5.3428326589789545e-06, 0.003304812305747353, 0.006228941994264228, 0.9999751389253186]"
1744093539.8412063,1.4042657709363702,-0.539962939831197,0.007826649269359859,"[-4.82370256932195e-06, 0.003304176758043519, 0.006229344955012198, 0.999975138518011]"
1744093539.9294486,1.404266986797325,-0.5399628564447287,0.00783557963332445,"[-8.251993235321668e-06, 0.003305237729213786, 0.006229737843857351, 0.9999751325417323]"
1744093540.0137494,1.404268201827394,-0.5399627789858124,0.007839612103535674,"[-1.1370687599999023e-05, 0.0033062201846166955, 0.006230129450704158, 0.9999751268235755]"
1744093540.098458,1.4042694218198102,-0.5399626926129012,0.007845879231918238,"[-1.4928524797239064e-05, 0.0033076842930371783, 0.006230518160426893, 0.9999751195130854]"
