time_sec,x,y,z
1744055037.8903537,0.4471131313440331,-0.5765505382240881,0.0078387229940833
1744055037.9964182,0.4471143605492399,-0.5765504105239263,0.007839928222647329
1744055038.1378956,0.44711557559768433,-0.5765503952386084,0.007845110911281704
1744055038.2157078,0.4471167413821896,-0.5765504129830857,0.007837960013175126
1744055038.319262,0.44711786449628094,-0.5765502805778174,0.007843309739749607
1744055038.419886,0.4471189352633871,-0.5765500236593496,0.00784053992621931
1744055038.5430496,0.4471200304955101,-0.5765496760174426,0.007838672338818135
1744055038.6568873,0.44712117262382034,-0.5765494408366798,0.007840516045731166
1744055038.7723227,0.44712236554942825,-0.5765493245419796,0.007837911378742788
1744055038.8800244,0.4471236149130889,-0.576549207454964,0.007819520872433327
1744055038.9759982,0.4471248429090447,-0.5765491290184482,0.00781679437329515
1744055039.093602,0.44712603959065533,-0.5765490439938742,0.00781959246248627
1744055039.196642,0.4471272089613041,-0.5765488415052638,0.007821279342828256
1744055039.3250997,0.4471283773413634,-0.576548557019696,0.007831973259783404
1744055039.4514062,0.4471295295761156,-0.5765483220092688,0.007838031249768975
1744055039.6130984,0.4471306954618513,-0.5765481433113974,0.00784603035729758
1744055039.7396877,0.44713185441360753,-0.5765479839491948,0.007837933572067373
1744055039.853512,0.44713300708755116,-0.576547857122932,0.007832815411980077
1744055039.9762855,0.4471341702899321,-0.5765477537248869,0.00781947575491923
1744055040.0985959,0.4471353998368066,-0.5765476284592755,0.007823535355044266
1744055040.2098088,0.4471366033948972,-0.576547513280515,0.0078385839232185
1744055040.31273,0.44713776447331227,-0.5765474061959613,0.007845348494570524
1744055040.436102,0.44713889339222507,-0.576547260223701,0.007842241068721756
1744055040.5597136,0.4471399845393811,-0.5765470391171604,0.007828418932696498
1744055040.6547024,0.44714114561380314,-0.5765468229593366,0.007817928351823312
1744055040.7764504,0.44714237094307874,-0.5765466418913718,0.007830343005821968
1744055040.8800924,0.4471435672886826,-0.57654642789062,0.00783853917856168
1744055040.9911718,0.44714475885916827,-0.5765462443383316,0.007845418240805641
1744055041.0957267,0.447145921862445,-0.5765460836928654,0.007835934616365932
1744055041.1966279,0.44714705628440626,-0.5765459522139479,0.007832515619917945
1744055041.2947407,0.4471481765540183,-0.5765458188844316,0.007831938012866744
1744055041.4059367,0.447149290707037,-0.5765456347277634,0.00782442632025861
1744055041.5030708,0.44715048588396616,-0.5765454623459169,0.007819617634914082
1744055041.6332188,0.4471517231520817,-0.5765453245482648,0.007834217838508907
1744055041.7440913,0.4471529316065708,-0.5765451455469108,0.007841563702722687
1744055041.831619,0.44715413002018334,-0.5765449882849287,0.007845371004686266
1744055041.9460292,0.4471552938167931,-0.5765448411699781,0.00782617802024561
1744055042.0642757,0.4471564546415492,-0.5765446619463719,0.007820639142929577
1744055042.1652398,0.4471576155962608,-0.5765444007495156,0.00781932002179849
1744055042.2569396,0.44715878850275614,-0.5765441639324743,0.007835375436079704
1744055042.3566332,0.4471599292831839,-0.5765439759189896,0.007840227481994432
1744055042.4458926,0.44716107957984796,-0.5765438392626141,0.007845538236546257
1744055042.553769,0.4471622162903574,-0.5765437060971542,0.007828259481646957
1744055042.6606615,0.4471634169896739,-0.5765435602368677,0.007816284644767581
1744055042.767291,0.44716463473590956,-0.5765434175663001,0.00783165831249331
1744055042.8826096,0.44716581119876997,-0.5765432901142741,0.007843458127486793
1744055042.9869967,0.44716694934628165,-0.5765431719241434,0.007843042897159107
1744055043.0777926,0.44716809173933897,-0.5765430469476253,0.007822573223324004
1744055043.1806,0.4471693017424384,-0.5765429050304299,0.007819087134912705
1744055043.2997355,0.4471704320541822,-0.5765427094796091,0.007823072729528029
1744055043.4104388,0.4471715816132748,-0.5765424777123775,0.007838737364732439
1744055043.5172846,0.4471727403751303,-0.5765422953649396,0.007845905173521196
1744055043.6238468,0.447173897393147,-0.5765420808614009,0.007845574446527807
1744055043.7333927,0.4471750594137268,-0.5765418728107147,0.007825502620842873
1744055043.8306139,0.44717629309088625,-0.5765416808547927,0.007817158139200442
1744055043.939205,0.4471775011309063,-0.5765415394923937,0.007826796683801908
